Date,Location,Temperature (°C),Humidity (%),Precipitation (mm)
2017-01-27,Houston,13.437668329385353,28.123106458975187,16.785145372695585
2006-09-26,Miami,40.63826470110783,58.43596962198944,12.76045337497277
2021-04-12,Chicago,7.706710560099076,49.34932725554268,10.595817577569353
2006-11-12,Seattle,26.908151337237264,91.51058585751346,3.9785139723393215
2009-03-14,New York,-14.015256731591638,49.86230046832879,0.030211513373015197
2008-08-01,Los Angeles,44.379432958840056,17.416529897873833,7.057246326069439
2007-07-20,Denver,15.755201999741104,18.273903753352347,8.736438791719559
2022-08-11,Seattle,-16.880491467148723,84.00701871829423,12.292739280744513
2008-02-16,Dallas,31.78095541776809,57.153778484983675,17.577011168938313
2017-05-20,Chicago,41.58295911818135,90.48449790931708,7.473091097300337
2006-02-11,New York,4.537579352701169,32.71684966021367,15.515392482325199
2022-01-12,New York,-3.540971724211932,78.25972665207684,1.2701628610875337
2014-06-27,San Francisco,-15.550496706700539,70.54083837102354,9.40954944145412
2008-10-21,Miami,-13.185353391513758,77.5874796403413,18.79554928598082
2020-02-27,New York,-14.770487235892999,30.81294160415767,7.133804014686389
2009-08-05,Chicago,25.690132441940342,57.276260802004046,19.70288159384912
2011-04-01,Seattle,29.03392692846478,55.419650673425075,14.042090208563183
2007-09-22,Phoenix,9.70492185452246,32.47014478664865,13.540680531125107
2021-08-23,Denver,26.597635230712292,20.671805520278042,18.79658250422505
2017-07-02,Dallas,9.403735987078282,30.546055777126256,1.4788896701166743
2019-03-26,Los Angeles,28.937502332385357,49.065297247986095,4.423153736718525
2020-07-03,San Francisco,8.271637136553537,24.052136774879784,15.653824701074798
2008-11-10,Phoenix,42.582390264255494,48.29037788674342,9.678860704934946
2020-07-26,Houston,25.77392235483424,79.91870710594394,6.295926323438721
2007-12-24,Phoenix,25.06200623020827,62.75215983636776,15.826559977032527
2024-12-20,Phoenix,-18.920901637176957,88.62789761703075,9.552575104175794
2008-11-03,Chicago,-17.95529035064087,65.12247924924313,7.380419598580912
2024-01-04,Miami,3.6172518403037266,10.955649225462622,15.957629864776916
2016-10-26,Los Angeles,28.617092723621944,83.20884360567513,2.6086367827958945
2014-09-04,Miami,-5.556322110783407,95.23260530139689,4.3943405011737475
2022-04-02,Denver,-1.4067329197083502,92.4230927181512,6.87296474703726
2013-11-01,New York,-12.025122067738199,66.56412270845836,3.5033580348126803
2006-08-08,Chicago,-5.582484219885185,70.01900293690679,9.033374004499521
2024-03-22,Seattle,8.294230483403439,44.075712116167836,11.004663937693087
2019-11-10,Seattle,25.35946132235842,21.68876720281556,11.945309118867788
2022-03-26,Miami,6.115707573825727,57.603990152833774,5.170775131859933
2022-11-19,San Francisco,18.95088853582616,95.43429530715952,1.8633157238658327
2025-01-06,New York,8.453755264014948,82.20528438085374,6.681198009027813
